Entity,Code,Year,Oil production (TWh)
Africa,,1900,0
Africa,,1901,0
Africa,,1902,0
Africa,,1903,0
Africa,,1904,0
Africa,,1905,0
Africa,,1906,0
Africa,,1907,0
Africa,,1908,0
Africa,,1909,0
Africa,,1910,0
Africa,,1911,0.03489
Africa,,1912,0.32564
Africa,,1913,0.15119
Africa,,1914,1.163
Africa,,1915,0.3489
Africa,,1916,0.68617
Africa,,1917,1.60494
Africa,,1918,3.29129
Africa,,1919,2.61675
Africa,,1920,1.7328701
Africa,,1921,2.12829
Africa,,1922,2.0236201
Africa,,1923,1.79102
Africa,,1924,1.91895
Africa,,1925,2.11666
Africa,,1926,2.0236201
Africa,,1927,2.16318
Africa,,1928,3.12847
Africa,,1929,3.19825
Africa,,1930,3.33781
Africa,,1931,3.3727
Africa,,1932,3.16336
Africa,,1933,2.7912002
Africa,,1934,2.58186
Africa,,1935,2.11666
Africa,,1936,2.12829
Africa,,1937,2.02362
Africa,,1938,2.66327
Africa,,1939,7.80373
Africa,,1940,10.86242
Africa,,1941,14.27001
Africa,,1942,13.804811
Africa,,1943,15.0027
Africa,,1944,15.79354
Africa,,1945,15.73539
Africa,,1946,14.9445505
Africa,,1947,15.54931
Africa,,1948,22.02722
Africa,,1949,26.81878
Africa,,1950,30.80787
Africa,,1951,28.08645
Africa,,1952,29.06337
Africa,,1953,29.52857
Africa,,1954,25.132431
Africa,,1955,23.00414
Africa,,1956,21.72484
Africa,,1957,31.133509
Africa,,1958,52.323368
Africa,,1959,67.67497
Africa,,1960,160.48238
Africa,,1961,275.01462
Africa,,1962,451.76736
Africa,,1963,665.42206
Africa,,1964,957.7538
Africa,,1965,1235.101
Africa,,1966,1571.8269
Africa,,1967,1729.137
Africa,,1968,2216.126
Africa,,1969,2818.2944
Africa,,1970,3399.6292
Africa,,1971,3181.0298
Africa,,1972,3194.1733
Africa,,1973,3346.9214
Africa,,1974,3085.5674
Africa,,1975,2831.0925
Africa,,1976,3377.11
Africa,,1977,3541.0354
Africa,,1978,3456.5452
Africa,,1979,3800.2239
Africa,,1980,3492.487
Africa,,1981,2773.1401
Africa,,1982,2666.0615
Africa,,1983,2702.3513
Africa,,1984,2885.7793
Africa,,1985,3000.331
Africa,,1986,2991.7114
Africa,,1987,2997.6375
Africa,,1988,3124.9639
Africa,,1989,3449.0317
Africa,,1990,3696.372
Africa,,1991,3834.5972
Africa,,1992,3907.2974
Africa,,1993,3856.3594
Africa,,1994,3848.5923
Africa,,1995,3910.9531
Africa,,1996,4037.5745
Africa,,1997,4131.454
Africa,,1998,4145.346
Africa,,1999,4028.149
Africa,,2000,4319.322
Africa,,2001,4275.9756
Africa,,2002,4304.742
Africa,,2003,4681.981
Africa,,2004,5210.7056
Africa,,2005,5401.9175
Africa,,2006,5488.3853
Africa,,2007,5605.5054
Africa,,2008,5664.0703
Africa,,2009,5446.1265
Africa,,2010,5628.514
Africa,,2011,4715.9775
Africa,,2012,5110.917
Africa,,2013,4747.6934
Africa,,2014,4531.725
Africa,,2015,4481.6978
Africa,,2016,4230.382
Africa,,2017,4464.1685
Africa,,2018,4548.2583
Africa,,2019,4601.129
Africa,,2020,3884.9695
Africa,,2021,4036.9832
Africa,,2022,3865.3696
Africa,,2023,3986.0508
Africa,,2024,4017.7146
Asia,,1900,6.61747
Asia,,1901,10.350699
Asia,,1902,8.24567
Asia,,1903,14.61891
Asia,,1904,17.84042
Asia,,1905,21.0503
Asia,,1906,22.038849
Asia,,1907,25.87675
Asia,,1908,27.551472
Asia,,1909,31.19166
Asia,,1910,30.21474
Asia,,1911,33.203648
