Entity,Code,Year,Oil consumption - TWh
Algeria,DZA,1965,15.4052515
Algeria,DZA,1966,20.272705
Algeria,DZA,1967,18.942032
Algeria,DZA,1968,20.167301
Algeria,DZA,1969,21.305931
Algeria,DZA,1970,24.34768
Algeria,DZA,1971,27.44005
Algeria,DZA,1972,30.121414
Algeria,DZA,1973,32.900345
Algeria,DZA,1974,36.54384
Algeria,DZA,1975,40.63067
Algeria,DZA,1976,46.71773
Algeria,DZA,1977,52.806496
Algeria,DZA,1978,54.607944
Algeria,DZA,1979,65.31862
Algeria,DZA,1980,66.20243
Algeria,DZA,1981,71.323074
Algeria,DZA,1982,75.57342
Algeria,DZA,1983,84.89242
Algeria,DZA,1984,94.00201
Algeria,DZA,1985,96.5538
Algeria,DZA,1986,98.021255
Algeria,DZA,1987,99.10052
Algeria,DZA,1988,99.1726
Algeria,DZA,1989,103.93666
Algeria,DZA,1990,111.811615
Algeria,DZA,1991,110.627785
Algeria,DZA,1992,111.292656
Algeria,DZA,1993,110.754875
Algeria,DZA,1994,106.050896
Algeria,DZA,1995,103.14229
Algeria,DZA,1996,98.42208
Algeria,DZA,1997,97.64342
Algeria,DZA,1998,100.65875
Algeria,DZA,1999,98.898346
Algeria,DZA,2000,103.13248
Algeria,DZA,2001,106.77533
Algeria,DZA,2002,118.397224
Algeria,DZA,2003,123.17412
Algeria,DZA,2004,128.74683
Algeria,DZA,2005,134.21338
Algeria,DZA,2006,139.84572
Algeria,DZA,2007,156.39
Algeria,DZA,2008,169.91591
Algeria,DZA,2009,180.13443
Algeria,DZA,2010,181.61191
Algeria,DZA,2011,192.22765
Algeria,DZA,2012,204.39526
Algeria,DZA,2013,213.57639
Algeria,DZA,2014,221.92514
Algeria,DZA,2015,236.14848
Algeria,DZA,2016,229.56384
Algeria,DZA,2017,225.51212
Algeria,DZA,2018,227.7859
Algeria,DZA,2019,236.9513
Algeria,DZA,2020,211.92545
Algeria,DZA,2021,221.2037
Algeria,DZA,2022,226.91005
Algeria,DZA,2023,238.2033
Algeria,DZA,2024,250.97054
Argentina,ARG,1965,275.2159
Argentina,ARG,1966,283.8763
Argentina,ARG,1967,290.73495
Argentina,ARG,1968,296.7972
Argentina,ARG,1969,308.01144
Argentina,ARG,1970,278.4355
Argentina,ARG,1971,296.50113
Argentina,ARG,1972,295.18622
Argentina,ARG,1973,297.19867
Argentina,ARG,1974,297.124
Argentina,ARG,1975,280.82806
Argentina,ARG,1976,290.2354
Argentina,ARG,1977,305.6577
Argentina,ARG,1978,299.6695
Argentina,ARG,1979,320.9211
Argentina,ARG,1980,298.28055
Argentina,ARG,1981,279.43146
Argentina,ARG,1982,268.86057
Argentina,ARG,1983,273.41653
Argentina,ARG,1984,260.50323
Argentina,ARG,1985,241.9803
Argentina,ARG,1986,250.56905
